,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
0,TCS,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +339 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",73.5k,855k,6.3k,915,11.5k,77
1,Accenture,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +173 more,4.0,"Company Culture, Skill Development / Learning, Job Security",,46.6k,585.6k,4.4k,20.4k,7.1k,39
2,Cognizant,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +156 more,3.9,Skill Development / Learning,Promotions / Appraisal,41.9k,561k,3.7k,476,5.8k,63
3,Wipro,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +276 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",39.4k,428.5k,3.8k,380,5k,79
4,Capgemini,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +140 more,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",34.2k,417.2k,2.9k,746,4k,32
5,HDFC Bank,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1534 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,34.1k,133.7k,1.6k,340,3.2k,4
6,ICICI Bank,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1278 more,4.0,"Job Security, Skill Development / Learning, Company Culture",,33.7k,143.4k,1.9k,218,3.7k,47
7,Infosys,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +181 more,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",32k,462.4k,4.9k,1.1k,5.1k,85
8,HCLTech,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +182 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",28.7k,294.6k,2.6k,347,4.1k,35
9,Tech Mahindra,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +263 more,3.7,,"Promotions / Appraisal, Salary & Benefits",27.8k,251.5k,2.5k,1.2k,3.6k,42
10,Genpact,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +108 more,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",26.3k,190.8k,2k,865,3.7k,36
11,Axis Bank,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1297 more,3.9,Job Security,,22.1k,99k,1.1k,299,2.2k,44
12,Teleperformance,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +181 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",22k,83.8k,1.3k,373,2k,29
13,Concentrix Corporation,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +114 more,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",21.9k,105.3k,1.1k,116,3.3k,33
14,Jio,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1172 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,20.7k,69k,1.2k,210,2.6k,42
15,Amazon,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +439 more,4.1,"Company Culture, Salary & Benefits, Work Life Balance",,20.6k,123.2k,3.5k,714,4.2k,47
16,IBM,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +144 more,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,19.8k,221.3k,1.5k,3.5k,2.7k,20
17,Reliance Retail,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +992 more,4.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,18.9k,59.9k,1.2k,300,2k,99
18,HDB Financial Services,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +945 more,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,18.2k,50.4k,597,109,1.5k,31
19,Larsen & Toubro Limited,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +620 more,4.1,"Job Security, Skill Development / Learning",,16.7k,79.9k,1k,153,2.9k,32
20,Vodafone Idea,Telecom | 5k-10k Employees | Public | 6 years old | Mumbai +641 more,4.2,"Company Culture, Work Life Balance, Salary & Benefits",,15.4k,60.2k,438,333,2k,10
21,BYJU'S,EdTech | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +305 more,3.1,,"Job Security, Work Life Balance, Company Culture",14.7k,58.7k,1.8k,887,1.9k,25
22,Kotak Mahindra Bank,Banking | 50k-1 Lakh Employees | Public | 21 years old | Mumbai +563 more,3.8,Job Security,Promotions / Appraisal,14.3k,78.2k,748,90,1.3k,22
23,Deloitte,Management Consulting | 1 Lakh+ Employees | 179 years old | London +148 more,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",,13.9k,176.7k,1.6k,316,2.5k,21
24,Reliance Industries ,Oil & Gas | 1 Lakh+ Employees | Public | 47 years old | Navi Mumbai +676 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,13.7k,66k,955,45,1.9k,33
25,iEnergizer,BPO | 10k-50k Employees | 24 years old | Noida +29 more,4.6,"Company Culture, Job Security, Skill Development / Learning",,13.1k,18.2k,316,119,523,17
26,Bharti Airtel,Telecom | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +653 more,4.1,"Skill Development / Learning, Job Security, Company Culture",,12.3k,44.5k,583,355,1.6k,71
27,Tata Motors,Automobile | 10k-50k Employees | Public | 79 years old | Pune +426 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,10.5k,42.6k,717,70,1.7k,14
28,WNS,BPO | 10k-50k Employees | 28 years old | Mumbai +37 more,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",9.7k,54.8k,728,164,1.4k,11
29,Flipkart,Internet | 10k-50k Employees | Public | 17 years old | Bangalore +512 more,4.1,"Skill Development / Learning, Company Culture, Job Security",,9.4k,46.9k,983,382,1.5k,88
30,IndusInd Bank,Banking | 10k-50k Employees | Public | 30 years old | Gurgaon/Gurugram +680 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",9.3k,46k,421,421,800,6
31,Ernst & Young,Management Consulting | 50k-1 Lakh Employees | 22 years old | London +96 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",9k,124.4k,778,1.8k,1.3k,4
32,AU Small Finance Bank,Banking | 10k-50k Employees | Fortune India 500 | 28 years old | Jaipur +400 more,4.5,"Skill Development / Learning, Job Security, Company Culture",,8.8k,18.2k,305,161,488,9
33,Mahindra & Mahindra,Automobile | 1 Lakh+ Employees | Public | 79 years old | Mumbai +473 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,8.7k,37.5k,479,62,1.3k,8
34,Infosys BPM ,BPO | 10k-50k Employees | 22 years old | Bangalore/Bengaluru +66 more,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",8.4k,58.4k,687,96,1.2k,12
35,DXC Technology,IT Services & Consulting | 10k-50k Employees | Public | 7 years old | Minato +81 more,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",8.4k,82.6k,583,109,1.2k,4
36,IDFC FIRST Bank,Banking | 10k-50k Employees | Public | 6 years old | Mumbai +577 more,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",,8.2k,41.1k,449,117,721,23
37,Conneqt Business Solutions,BPO | 10k-50k Employees | 22 years old | Mumbai +221 more,3.7,,"Promotions / Appraisal, Salary & Benefits",7.9k,25.5k,331,467,803,16
38,LTIMindtree,IT Services & Consulting | 50k-1 Lakh Employees | Public | 25 years old | Bangalore/Bengaluru +52 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.7k,95.8k,964,40,852,34
39,HDFC Life,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +555 more,4.1,"Skill Development / Learning, Job Security, Company Culture",,7.7k,29.4k,428,164,637,33
40,Bajaj Finserv,Financial Services | 50k-1 Lakh Employees | Public | 17 years old | Pune +874 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,7.6k,25.6k,342,62,750,3
41,Mphasis,IT Services & Consulting | 10k-50k Employees | Public | 26 years old | Bangalore/Bengaluru +50 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.1k,64.6k,500,205,880,10
42,PwC,Management Consulting | 10k-50k Employees | Conglomerate | 144 years old | London +92 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",7k,82.8k,808,1.3k,867,13
43,Startek,BPO | 10k-50k Employees | Public | 7 years old | Mumbai +72 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.8k,22.9k,334,49,708,6
44,HSBC Group,Banking | 10k-50k Employees | Forbes Global 2000 | 22 years old | Pune +58 more,4.1,"Job Security, Work Life Balance, Company Culture",,6.8k,61.1k,370,24,1.2k,4
45,Hinduja Global Solutions,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Bangalore/Bengaluru +100 more,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.8k,25.6k,179,42,1k,31
46,Samsung,Consumer Electronics & Appliances | 50k-1 Lakh Employees | Public | 55 years old | Seoul +502 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,6.7k,26.8k,418,285,563,7
47,Ericsson,Telecom | 10k-50k Employees | Forbes Global 2000 | 148 years old | Stockholm +151 more,4.3,"Company Culture, Work Life Balance, Job Security",,6.6k,44.7k,280,222,1k,17
48,Maruti Suzuki,Automobile | 10k-50k Employees | Public | 43 years old | New Delhi +377 more,4.3,"Job Security, Salary & Benefits, Skill Development / Learning",,6.6k,25.5k,453,24,1.1k,13
49,Shriram Finance,NBFC | 50k-1 Lakh Employees | Public | 45 years old | Mumbai +953 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,6.6k,12.7k,235,13,47,20
50,Asian Paints,Chemicals | 5k-10k Employees | Public | 82 years old | Mumbai +431 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,6.4k,21.5k,476,49,904,25
51,Yes Bank,Banking | 10k-50k Employees | Public | 20 years old | Mumbai +438 more,3.9,"Salary & Benefits, Work Life Balance",,6.4k,40.5k,298,141,628,4
52,Cipla,Pharma | 10k-50k Employees | Public | 89 years old | Mumbai +235 more,4.1,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,6.2k,24.2k,361,65,895,17
53,Sutherland Global Services,IT Services & Consulting | 10k-50k Employees | 38 years old | Pittsford +55 more,3.7,,"Promotions / Appraisal, Salary & Benefits",6k,27.5k,373,262,940,19
54,Dr. Reddy's,Pharma | 10k-50k Employees | Public | 40 years old | Hyderabad/Secunderabad +163 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,6k,23.9k,281,192,883,21
55,Bandhan Bank,Banking | 50k-1 Lakh Employees | Public | 23 years old | Kolkata +757 more,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction",6k,20.2k,382,17,532,7
56,Paytm,FinTech | 10k-50k Employees | Public | 14 years old | Noida +313 more,3.5,,"Job Security, Promotions / Appraisal, Company Culture",6k,30.3k,441,321,582,19
57,UltraTech Cement,Building Material | 10k-50k Employees | Public | 41 years old | Mumbai +432 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,5.9k,21.4k,383,6,654,27
58,EXL Service,Analytics & KPO | 10k-50k Employees | 25 years old | New York City +45 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",5.9k,37.5k,462,204,857,13
59,NTT DATA,IT Services & Consulting | 10k-50k Employees | 36 years old | Chiyoda City +58 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,5.9k,52.4k,434,121,775,16
60,ICICI Prudential Life Insurance,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +449 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,5.7k,22.2k,281,41,635,7
61, Bajaj Finance,NBFC | 10k-50k Employees | 37 years old | Pune +770 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,5.6k,19.5k,227,75,524,4
62,Jana Small Finance Bank,Banking | 10k-50k Employees | Public | 18 years old | Bangalore/Bengaluru +349 more,3.9,,,5.6k,14.9k,183,91,621,7
63,Lupin,Pharma | 1k-5k Employees | Public | 56 years old | Mumbai +165 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,5.5k,22.9k,246,33,818,5
64,Indian Army,Defence & Aerospace | 1 Lakh+ Employees | Public | 129 years old | New Delhi +325 more,4.7,"Job Security, Company Culture, Work Satisfaction",,5.4k,9.9k,124,--,760,2
65,HCL Group,IT Services & Consulting | 1 Lakh+ Employees | 48 years old | Chennai +74 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",5.3k,67.9k,290,1,698,--
66,L&T Infotech,IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Mumbai +84 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",5.3k,74.1k,410,125,886,5
67,Quess,BPO | 1k-5k Employees | Public | 17 years old | Bangalore +520 more,4.0,Work Life Balance,Promotions / Appraisal,5.3k,23.5k,284,279,461,12
68,Tata Steel,Iron & Steel | 1 Lakh+ Employees | Public | 117 years old | Mumbai +168 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,5.3k,25.3k,537,66,674,20
69,Wells Fargo,Financial Services | 10k-50k Employees | Public | 172 years old | San Francisco +20 more,4.1,"Job Security, Work Life Balance, Company Culture",,5.2k,47.1k,335,28,903,9
70,Zydus Lifesciences,Pharma | 10k-50k Employees | Public | 72 years old | Ahmedabad +149 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,5.2k,18.1k,209,148,689,20
71,Amazon Development Centre India,Internet | 10k-50k Employees | Hyderabad / Secunderabad +79 more,4.2,"Company Culture, Salary & Benefits, Work Life Balance",,5.2k,26.7k,397,34,55,8
72,Delhivery,Logistics | 10k-50k Employees | Fortune India 500 | 13 years old | Delhi +623 more,4.0,Skill Development / Learning,Promotions / Appraisal,5.2k,17.2k,313,420,664,36
73,L&T Construction,Engineering & Construction | 5k-10k Employees | Public | 80 years old | Chennai +359 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,5.1k,14.5k,482,--,824,11
74,JPMorgan Chase & Co.,Financial Services | 50k-1 Lakh Employees | Public | 56 years old | New York +31 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,5k,72.9k,432,1.2k,904,14
75,Sun Pharmaceutical Industries,Pharma | 10k-50k Employees | Public | 41 years old | Mumbai +206 more,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",,5k,20.1k,263,116,638,8
76,Hindustan Unilever ,FMCG | 10k-50k Employees | Public | 152 years old | London +423 more,4.3,"Skill Development / Learning, Job Security, Company Culture",,5k,21.3k,254,190,689,--
77,FIS,FinTech | 10k-50k Employees | 56 years old | Jacksonville +45 more,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,4.9k,39.4k,312,65,785,16
78,ITC,FMCG | 10k-50k Employees | Public | 49 years old | Kolkata +295 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.8k,23k,405,60,721,7
79,Udaan,1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +337 more,4.0,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",4.8k,20.3k,289,299,787,8
80,Hexaware Technologies,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 34 years old | Mumbai +46 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.8k,45.3k,419,394,589,25
81,IIFL Finance,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +660 more,4.0,Salary & Benefits,,4.8k,16.2k,203,148,438,8
82,JSW Steel,Iron & Steel | 10k-50k Employees | Public | 42 years old | Mumbai +142 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.7k,24.6k,384,83,626,18
83,Ujjivan Small Finance Bank,Banking | 10k-50k Employees | Public | 7 years old | Bangalore/Bengaluru +438 more,4.1,"Company Culture, Job Security, Work Life Balance",,4.6k,12.3k,160,146,598,5
84,Muthoot Finance,NBFC | 10k-50k Employees | Public | 85 years old | Kochi/Cochin +634 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",4.5k,11.8k,183,539,337,4
85,Max Life Insurance,Insurance | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +393 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,4.5k,17.1k,211,427,513,--
86,Aurobindo Pharma,Pharma | 10k-50k Employees | Public | 38 years old | Hyderabad/Secunderabad +92 more,4.0,"Job Security, Salary & Benefits",,4.4k,22.3k,184,7,494,7
87,KPMG India,Management Consulting | 10k-50k Employees | 37 years old | Bangalore / Bengaluru +76 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",4.4k,63k,521,694,782,5
88,Tata Projects,Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +236 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,4.4k,19.5k,289,35,562,17
89,Shapoorji Pallonji Group,Engineering & Construction | 5k-10k Employees | Conglomerate | 159 years old | Mumbai +164 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,4.4k,15.4k,256,39,657,9
90,Oracle,Software Product | 50k-1 Lakh Employees | Public | 47 years old | Austin +47 more,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",4.4k,58.5k,541,216,641,26
